pid,fig,png,mode,ink,kind,region_id,box,transform,parents,note,cut_id,axis,depth,gap,gap_px,half_a,half_b,selected_x,run_len,longest,tie,reason,candidates,n_free,n_clipped,selected_run,search_to,need_overlap,orphan,w,h,outcome,n_candidates,nearest,relation,n_opposite,n_nested,opposite,nested,lineage,sibling_region,sibling_fate,panel,cut_axis,side,accepted,c_data_no_axis,c_rows,c_caption,c_baseline,c_coords,c_regular,why_data_no_axis,why_rows,why_caption,why_baseline,why_coords,why_regular,reach,grown,score,n_rows,rule,measured,threshold,detail,axis_status,axis_from,spine_x,baseline_y,status,n_labels,n_bars,fragment,source,union,width_before,width_after,duplicate,contains_another_panel,foreign_axes_in_union,spine_before,spine_after,spine_moved,would_production_refuse
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,37,"703,1081,29,292",TRIM,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,38,"702,1084,337,405",TRIM,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,39,"102,574,445,628",TRIM,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,40,"139,577,662,756",TRIM,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,41,"619,678,465,680",TRIM,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,42,"709,1086,441,748",TRIM,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,43,"94,578,793,1419",TRIM,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,44,"613,1102,791,1412",TRIM,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,45,"93,148,1438,1458",TRIM,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,46,"161,624,1437,1458",TRIM,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,"709,1086,441,748",,,,,,,,,,,1077,147,147,0.95,leftmost column whose run is >= 0.95 of the longest (147 px),1077:147px;913:122px;912:122px;1045:120px;1044:120px;979:116px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,"709,1086,441,748",,,,,,,,,,,1077,147,147,0.95,leftmost column whose run is >= 0.95 of the longest (147 px),1077:147px;913:122px;912:122px;1045:120px;1044:120px;979:116px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,47,"709,1086,441,748",MERGE,42,unchanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,"709,1081,174,292",,,,,,,,,,,841,98,98,0.95,leftmost column whose run is >= 0.95 of the longest (98 px),842:98px;841:98px;875:77px;1009:72px;1008:72px;942:70px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,"723,1086,829,990",,,,,,,,,,,923,109,109,0.95,leftmost column whose run is >= 0.95 of the longest (109 px),923:109px;924:108px;1054:96px;1053:96px;956:95px;1021:69px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,"711,1086,1155,1323",,,,,,,,,,,921,106,106,0.95,leftmost column whose run is >= 0.95 of the longest (106 px),922:106px;921:106px;957:94px;956:94px;991:80px;990:80px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,48,"709,1086,441,748",COLUMN_SIBLING,47,unchanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,49,"709,1081,174,292",COLUMN_SIBLING,,from 0 overlapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,50,"723,1086,829,990",COLUMN_SIBLING,,from 0 overlapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,REGION,51,"711,1086,1155,1323",COLUMN_SIBLING,,from 0 overlapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_CANDIDATES,,"709,1086,441,748",,,,,,,,,,,748,,,,leftmost of 9 free runs,748:494-594:free;749:494-594:free;781:479-591:free;782:479-591:free;814:508-601:free;847:511-604:free;880:498-600:free;912:478-600:free;913:478-600:free,9,0,494-594,935,92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,"709,1086,441,748",,,,,,,,,,,1077,147,147,0.95,leftmost column whose run is >= 0.95 of the longest (147 px),1077:147px;913:122px;912:122px;1045:120px;1044:120px;979:116px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_CANDIDATES,,"709,1081,174,292",,,,,,,,,,,875,,,,leftmost of 3 free runs,875:200-277:free;908:215-272:free;909:215-272:free;741:240-292:clipped;742:240-292:clipped;841:174-272:clipped;842:174-272:clipped,3,4,200-277,932,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,"709,1081,174,292",,,,,,,,,,,841,98,98,0.95,leftmost column whose run is >= 0.95 of the longest (98 px),842:98px;841:98px;875:77px;1009:72px;1008:72px;942:70px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
